pairId,type,shouldMatch,resumeId,jobId,threshold,chunkCount,goldRelevant,returned,pass,kept,overTopk,tp,fp,fn,tn,precision,recall,f1,keptGold,keptPrecision,predictedMatch,maxRaw,maxBoosted,minPassedRaw,boostWouldCross,elapsedSeconds
P5,positive,true,nurse-zhao,nurse-cardiology,0.400000,2,1,2,2,2,0,1,1,0,0,0.500000,1.000000,0.666667,1,0.500000,true,0.895986,0.999000,0.840782,0,0.133669
P5,positive,true,nurse-zhao,nurse-cardiology,0.450000,2,1,2,2,2,0,1,1,0,0,0.500000,1.000000,0.666667,1,0.500000,true,0.895986,0.999000,0.840782,0,0.135067
P5,positive,true,nurse-zhao,nurse-cardiology,0.500000,2,1,2,2,2,0,1,1,0,0,0.500000,1.000000,0.666667,1,0.500000,true,0.895986,0.999000,0.840782,0,0.135510
P5,positive,true,nurse-zhao,nurse-cardiology,0.550000,2,1,2,2,2,0,1,1,0,0,0.500000,1.000000,0.666667,1,0.500000,true,0.895986,0.999000,0.840782,0,0.137949
P5,positive,true,nurse-zhao,nurse-cardiology,0.600000,2,1,2,2,2,0,1,1,0,0,0.500000,1.000000,0.666667,1,0.500000,true,0.895986,0.999000,0.840782,0,0.137290
P5,positive,true,nurse-zhao,nurse-cardiology,0.650000,2,1,2,2,2,0,1,1,0,0,0.500000,1.000000,0.666667,1,0.500000,true,0.895986,0.999000,0.840782,0,0.131942
P5,positive,true,nurse-zhao,nurse-cardiology,0.700000,2,1,2,2,2,0,1,1,0,0,0.500000,1.000000,0.666667,1,0.500000,true,0.895986,0.999000,0.840782,0,0.134837
P5,positive,true,nurse-zhao,nurse-cardiology,0.750000,2,1,2,2,2,0,1,1,0,0,0.500000,1.000000,0.666667,1,0.500000,true,0.895986,0.999000,0.840782,0,0.132483
P5,positive,true,nurse-zhao,nurse-cardiology,0.800000,2,1,2,2,2,0,1,1,0,0,0.500000,1.000000,0.666667,1,0.500000,true,0.895986,0.999000,0.840782,0,0.139285
P6,positive,true,accountant-sun,accountant,0.350000,2,2,2,2,2,0,2,0,0,0,1.000000,1.000000,1.000000,2,1.000000,true,0.868447,0.973447,0.804232,0,0.551685
P6,positive,true,accountant-sun,accountant,0.400000,2,2,2,2,2,0,2,0,0,0,1.000000,1.000000,1.000000,2,1.000000,true,0.868447,0.973447,0.804232,0,0.111290
P6,positive,true,accountant-sun,accountant,0.450000,2,2,2,2,2,0,2,0,0,0,1.000000,1.000000,1.000000,2,1.000000,true,0.868447,0.973447,0.804232,0,0.107750
P6,positive,true,accountant-sun,accountant,0.500000,2,2,2,2,2,0,2,0,0,0,1.000000,1.000000,1.000000,2,1.000000,true,0.868447,0.973447,0.804232,0,0.110385
P6,positive,true,accountant-sun,accountant,0.550000,2,2,2,2,2,0,2,0,0,0,1.000000,1.000000,1.000000,2,1.000000,true,0.868447,0.973447,0.804232,0,0.112219
P6,positive,true,accountant-sun,accountant,0.600000,2,2,2,2,2,0,2,0,0,0,1.000000,1.000000,1.000000,2,1.000000,true,0.868447,0.973447,0.804232,0,0.114369
P6,positive,true,accountant-sun,accountant,0.650000,2,2,2,2,2,0,2,0,0,0,1.000000,1.000000,1.000000,2,1.000000,true,0.868447,0.973447,0.804232,0,0.115106
P6,positive,true,accountant-sun,accountant,0.700000,2,2,2,2,2,0,2,0,0,0,1.000000,1.000000,1.000000,2,1.000000,true,0.868447,0.973447,0.804232,0,0.114174
P6,positive,true,accountant-sun,accountant,0.750000,2,2,2,2,2,0,2,0,0,0,1.000000,1.000000,1.000000,2,1.000000,true,0.868447,0.973447,0.804232,0,0.106492
P6,positive,true,accountant-sun,accountant,0.800000,2,2,2,2,2,0,2,0,0,0,1.000000,1.000000,1.000000,2,1.000000,true,0.868447,0.973447,0.804232,0,0.113950
N1,negative,false,java-backend-chen,nurse-cardiology,0.350000,2,0,2,2,2,0,0,2,0,0,0.000000,0.000000,0.000000,0,0.000000,true,0.583627,0.666600,0.561600,0,0.170888
N1,negative,false,java-backend-chen,nurse-cardiology,0.400000,2,0,2,2,2,0,0,2,0,0,0.000000,0.000000,0.000000,0,0.000000,true,0.583627,0.666600,0.561600,0,0.175120
N1,negative,false,java-backend-chen,nurse-cardiology,0.450000,2,0,2,2,2,0,0,2,0,0,0.000000,0.000000,0.000000,0,0.000000,true,0.583627,0.666600,0.561600,0,0.155590
N1,negative,false,java-backend-chen,nurse-cardiology,0.500000,2,0,2,2,2,0,0,2,0,0,0.000000,0.000000,0.000000,0,0.000000,true,0.583627,0.666600,0.561600,0,0.142977
N1,negative,false,java-backend-chen,nurse-cardiology,0.550000,2,0,2,2,2,0,0,2,0,0,0.000000,0.000000,0.000000,0,0.000000,true,0.583627,0.666600,0.561600,0,0.137318
N1,negative,false,java-backend-chen,nurse-cardiology,0.600000,2,0,2,0,0,0,0,0,0,2,0.000000,0.000000,0.000000,0,0.000000,false,0.583627,0.666600,,2,0.140241
N1,negative,false,java-backend-chen,nurse-cardiology,0.650000,2,0,2,0,0,0,0,0,0,2,0.000000,0.000000,0.000000,0,0.000000,false,0.583627,0.666600,,1,0.135137
N1,negative,false,java-backend-chen,nurse-cardiology,0.700000,2,0,2,0,0,0,0,0,0,2,0.000000,0.000000,0.000000,0,0.000000,false,0.583627,0.666600,,0,0.137642
N1,negative,false,java-backend-chen,nurse-cardiology,0.750000,2,0,2,0,0,0,0,0,0,2,0.000000,0.000000,0.000000,0,0.000000,false,0.583627,0.666600,,0,0.134483
N1,negative,false,java-backend-chen,nurse-cardiology,0.800000,2,0,2,0,0,0,0,0,0,2,0.000000,0.000000,0.000000,0,0.000000,false,0.583627,0.666600,,0,0.132840
N2,negative,false,java-backend-chen,accountant,0.350000,2,0,2,2,2,0,0,2,0,0,0.000000,0.000000,0.000000,0,0.000000,true,0.646012,0.687510,0.582510,0,0.109191
N2,negative,false,java-backend-chen,accountant,0.400000,2,0,2,2,2,0,0,2,0,0,0.000000,0.000000,0.000000,0,0.000000,true,0.646012,0.687510,0.582510,0,0.114140
N2,negative,false,java-backend-chen,accountant,0.450000,2,0,2,2,2,0,0,2,0,0,0.000000,0.000000,0.000000,0,0.000000,true,0.646012,0.687510,0.582510,0,0.106775
N2,negative,false,java-backend-chen,accountant,0.500000,2,0,2,2,2,0,0,2,0,0,0.000000,0.000000,0.000000,0,0.000000,true,0.646012,0.687510,0.582510,0,0.109346
N2,negative,false,java-backend-chen,accountant,0.550000,2,0,2,2,2,0,0,2,0,0,0.000000,0.000000,0.000000,0,0.000000,true,0.646012,0.687510,0.582510,0,0.107589
N2,negative,false,java-backend-chen,accountant,0.600000,2,0,2,1,1,0,0,1,0,1,0.000000,0.000000,0.000000,0,0.000000,true,0.646012,0.687510,0.646012,1,0.110309
N2,negative,false,java-backend-chen,accountant,0.650000,2,0,2,0,0,0,0,0,0,2,0.000000,0.000000,0.000000,0,0.000000,false,0.646012,0.687510,,2,0.107385
N2,negative,false,java-backend-chen,accountant,0.700000,2,0,2,0,0,0,0,0,0,2,0.000000,0.000000,0.000000,0,0.000000,false,0.646012,0.687510,,0,0.110207
N2,negative,false,java-backend-chen,accountant,0.750000,2,0,2,0,0,0,0,0,0,2,0.000000,0.000000,0.000000,0,0.000000,false,0.646012,0.687510,,0,0.107528
N2,negative,false,java-backend-chen,accountant,0.800000,2,0,2,0,0,0,0,0,0,2,0.000000,0.000000,0.000000,0,0.000000,false,0.646012,0.687510,,0,0.107495
N3,negative,false,frontend-lin,accountant,0.350000,2,0,2,2,2,0,0,2,0,0,0.000000,0.000000,0.000000,0,0.000000,true,0.534307,0.626350,0.521350,0,0.111350
N3,negative,false,frontend-lin,accountant,0.400000,2,0,2,2,2,0,0,2,0,0,0.000000,0.000000,0.000000,0,0.000000,true,0.534307,0.626350,0.521350,0,0.118782
N3,negative,false,frontend-lin,accountant,0.450000,2,0,2,2,2,0,0,2,0,0,0.000000,0.000000,0.000000,0,0.000000,true,0.534307,0.626350,0.521350,0,0.117534
N3,negative,false,frontend-lin,accountant,0.500000,2,0,2,2,2,0,0,2,0,0,0.000000,0.000000,0.000000,0,0.000000,true,0.534307,0.626350,0.521350,0,0.121705
N3,negative,false,frontend-lin,accountant,0.550000,2,0,2,0,0,0,0,0,0,2,0.000000,0.000000,0.000000,0,0.000000,false,0.534307,0.626350,,2,0.117874
N3,negative,false,frontend-lin,accountant,0.600000,2,0,2,0,0,0,0,0,0,2,0.000000,0.000000,0.000000,0,0.000000,false,0.534307,0.626350,,2,0.120039
N3,negative,false,frontend-lin,accountant,0.650000,2,0,2,0,0,0,0,0,0,2,0.000000,0.000000,0.000000,0,0.000000,false,0.534307,0.626350,,0,0.118957
N3,negative,false,frontend-lin,accountant,0.700000,2,0,2,0,0,0,0,0,0,2,0.000000,0.000000,0.000000,0,0.000000,false,0.534307,0.626350,,0,0.123910
N3,negative,false,frontend-lin,accountant,0.750000,2,0,2,0,0,0,0,0,0,2,0.000000,0.000000,0.000000,0,0.000000,false,0.534307,0.626350,,0,0.119838
N3,negative,false,frontend-lin,accountant,0.800000,2,0,2,0,0,0,0,0,0,2,0.000000,0.000000,0.000000,0,0.000000,false,0.534307,0.626350,,0,0.114131
N4,negative,false,nurse-zhao,java-backend-payment,0.350000,2,0,2,2,2,0,0,2,0,0,0.000000,0.000000,0.000000,0,0.000000,true,0.617093,0.617093,0.594818,0,0.176702
N4,negative,false,nurse-zhao,java-backend-payment,0.400000,2,0,2,2,2,0,0,2,0,0,0.000000,0.000000,0.000000,0,0.000000,true,0.617093,0.617093,0.594818,0,0.176323
N4,negative,false,nurse-zhao,java-backend-payment,0.450000,2,0,2,2,2,0,0,2,0,0,0.000000,0.000000,0.000000,0,0.000000,true,0.617093,0.617093,0.594818,0,0.184450
N4,negative,false,nurse-zhao,java-backend-payment,0.500000,2,0,2,2,2,0,0,2,0,0,0.000000,0.000000,0.000000,0,0.000000,true,0.617093,0.617093,0.594818,0,0.174065
N4,negative,false,nurse-zhao,java-backend-payment,0.550000,2,0,2,2,2,0,0,2,0,0,0.000000,0.000000,0.000000,0,0.000000,true,0.617093,0.617093,0.594818,0,0.170510
N4,negative,false,nurse-zhao,java-backend-payment,0.600000,2,0,2,1,1,0,0,1,0,1,0.000000,0.000000,0.000000,0,0.000000,true,0.617093,0.617093,0.617093,0,0.178181
N4,negative,false,nurse-zhao,java-backend-payment,0.650000,2,0,2,0,0,0,0,0,0,2,0.000000,0.000000,0.000000,0,0.000000,false,0.617093,0.617093,,0,0.173905
N4,negative,false,nurse-zhao,java-backend-payment,0.700000,2,0,2,0,0,0,0,0,0,2,0.000000,0.000000,0.000000,0,0.000000,false,0.617093,0.617093,,0,0.174312
N4,negative,false,nurse-zhao,java-backend-payment,0.750000,2,0,2,0,0,0,0,0,0,2,0.000000,0.000000,0.000000,0,0.000000,false,0.617093,0.617093,,0,0.163850
N4,negative,false,nurse-zhao,java-backend-payment,0.800000,2,0,2,0,0,0,0,0,0,2,0.000000,0.000000,0.000000,0,0.000000,false,0.617093,0.617093,,0,0.164733
N5,negative,false,accountant-sun,frontend-react,0.350000,2,0,2,2,2,0,0,2,0,0,0.000000,0.000000,0.000000,0,0.000000,true,0.554852,0.591369,0.521369,0,0.150573
N5,negative,false,accountant-sun,frontend-react,0.400000,2,0,2,2,2,0,0,2,0,0,0.000000,0.000000,0.000000,0,0.000000,true,0.554852,0.591369,0.521369,0,0.153624
N5,negative,false,accountant-sun,frontend-react,0.450000,2,0,2,2,2,0,0,2,0,0,0.000000,0.000000,0.000000,0,0.000000,true,0.554852,0.591369,0.521369,0,0.149618
N5,negative,false,accountant-sun,frontend-react,0.500000,2,0,2,2,2,0,0,2,0,0,0.000000,0.000000,0.000000,0,0.000000,true,0.554852,0.591369,0.521369,0,0.154266
N5,negative,false,accountant-sun,frontend-react,0.550000,2,0,2,1,1,0,0,1,0,1,0.000000,0.000000,0.000000,0,0.000000,true,0.554852,0.591369,0.554852,1,0.155375
N5,negative,false,accountant-sun,frontend-react,0.600000,2,0,2,0,0,0,0,0,0,2,0.000000,0.000000,0.000000,0,0.000000,false,0.554852,0.591369,,0,0.150886
N5,negative,false,accountant-sun,frontend-react,0.650000,2,0,2,0,0,0,0,0,0,2,0.000000,0.000000,0.000000,0,0.000000,false,0.554852,0.591369,,0,0.159150
N5,negative,false,accountant-sun,frontend-react,0.700000,2,0,2,0,0,0,0,0,0,2,0.000000,0.000000,0.000000,0,0.000000,false,0.554852,0.591369,,0,0.158339
N5,negative,false,accountant-sun,frontend-react,0.750000,2,0,2,0,0,0,0,0,0,2,0.000000,0.000000,0.000000,0,0.000000,false,0.554852,0.591369,,0,0.154146
N5,negative,false,accountant-sun,frontend-react,0.800000,2,0,2,0,0,0,0,0,0,2,0.000000,0.000000,0.000000,0,0.000000,false,0.554852,0.591369,,0,0.148330
N6,negative,false,algorithm-zhou,nurse-cardiology,0.350000,2,0,2,2,2,0,0,2,0,0,0.000000,0.000000,0.000000,0,0.000000,true,0.557218,0.627218,0.503793,0,0.135505
N6,negative,false,algorithm-zhou,nurse-cardiology,0.400000,2,0,2,2,2,0,0,2,0,0,0.000000,0.000000,0.000000,0,0.000000,true,0.557218,0.627218,0.503793,0,0.133016
N6,negative,false,algorithm-zhou,nurse-cardiology,0.450000,2,0,2,2,2,0,0,2,0,0,0.000000,0.000000,0.000000,0,0.000000,true,0.557218,0.627218,0.503793,0,0.135230
N6,negative,false,algorithm-zhou,nurse-cardiology,0.500000,2,0,2,2,2,0,0,2,0,0,0.000000,0.000000,0.000000,0,0.000000,true,0.557218,0.627218,0.503793,0,0.131125
N6,negative,false,algorithm-zhou,nurse-cardiology,0.550000,2,0,2,1,1,0,0,1,0,1,0.000000,0.000000,0.000000,0,0.000000,true,0.557218,0.627218,0.557218,1,0.131835
N6,negative,false,algorithm-zhou,nurse-cardiology,0.600000,2,0,2,0,0,0,0,0,0,2,0.000000,0.000000,0.000000,0,0.000000,false,0.557218,0.627218,,1,0.128652
N6,negative,false,algorithm-zhou,nurse-cardiology,0.650000,2,0,2,0,0,0,0,0,0,2,0.000000,0.000000,0.000000,0,0.000000,false,0.557218,0.627218,,0,0.130826
N6,negative,false,algorithm-zhou,nurse-cardiology,0.700000,2,0,2,0,0,0,0,0,0,2,0.000000,0.000000,0.000000,0,0.000000,false,0.557218,0.627218,,0,0.138184
N6,negative,false,algorithm-zhou,nurse-cardiology,0.750000,2,0,2,0,0,0,0,0,0,2,0.000000,0.000000,0.000000,0,0.000000,false,0.557218,0.627218,,0,0.140997
N6,negative,false,algorithm-zhou,nurse-cardiology,0.800000,2,0,2,0,0,0,0,0,0,2,0.000000,0.000000,0.000000,0,0.000000,false,0.557218,0.627218,,0,0.144586
H1,hard_negative,false,java-backend-chen,frontend-react,0.350000,2,0,2,2,2,0,0,2,0,0,0.000000,0.000000,0.000000,0,0.000000,true,0.690011,0.795011,0.625047,0,0.178506
H1,hard_negative,false,java-backend-chen,frontend-react,0.400000,2,0,2,2,2,0,0,2,0,0,0.000000,0.000000,0.000000,0,0.000000,true,0.690011,0.795011,0.625047,0,0.151532
H1,hard_negative,false,java-backend-chen,frontend-react,0.450000,2,0,2,2,2,0,0,2,0,0,0.000000,0.000000,0.000000,0,0.000000,true,0.690011,0.795011,0.625047,0,0.143693
H1,hard_negative,false,java-backend-chen,frontend-react,0.500000,2,0,2,2,2,0,0,2,0,0,0.000000,0.000000,0.000000,0,0.000000,true,0.690011,0.795011,0.625047,0,0.153542
H1,hard_negative,false,java-backend-chen,frontend-react,0.550000,2,0,2,2,2,0,0,2,0,0,0.000000,0.000000,0.000000,0,0.000000,true,0.690011,0.795011,0.625047,0,0.151960
H1,hard_negative,false,java-backend-chen,frontend-react,0.600000,2,0,2,2,2,0,0,2,0,0,0.000000,0.000000,0.000000,0,0.000000,true,0.690011,0.795011,0.625047,0,0.148228
H1,hard_negative,false,java-backend-chen,frontend-react,0.650000,2,0,2,1,1,0,0,1,0,1,0.000000,0.000000,0.000000,0,0.000000,true,0.690011,0.795011,0.690011,1,0.156248
H1,hard_negative,false,java-backend-chen,frontend-react,0.700000,2,0,2,0,0,0,0,0,0,2,0.000000,0.000000,0.000000,0,0.000000,false,0.690011,0.795011,,1,0.149616
H1,hard_negative,false,java-backend-chen,frontend-react,0.750000,2,0,2,0,0,0,0,0,0,2,0.000000,0.000000,0.000000,0,0.000000,false,0.690011,0.795011,,1,0.151557
H1,hard_negative,false,java-backend-chen,frontend-react,0.800000,2,0,2,0,0,0,0,0,0,2,0.000000,0.000000,0.000000,0,0.000000,false,0.690011,0.795011,,0,0.145781
H2,hard_negative,false,frontend-lin,java-backend-payment,0.350000,2,0,2,2,2,0,0,2,0,0,0.000000,0.000000,0.000000,0,0.000000,true,0.674584,0.779584,0.648980,0,0.167362
H2,hard_negative,false,frontend-lin,java-backend-payment,0.400000,2,0,2,2,2,0,0,2,0,0,0.000000,0.000000,0.000000,0,0.000000,true,0.674584,0.779584,0.648980,0,0.175087
H2,hard_negative,false,frontend-lin,java-backend-payment,0.450000,2,0,2,2,2,0,0,2,0,0,0.000000,0.000000,0.000000,0,0.000000,true,0.674584,0.779584,0.648980,0,0.207777
H2,hard_negative,false,frontend-lin,java-backend-payment,0.500000,2,0,2,2,2,0,0,2,0,0,0.000000,0.000000,0.000000,0,0.000000,true,0.674584,0.779584,0.648980,0,0.160941
H2,hard_negative,false,frontend-lin,java-backend-payment,0.550000,2,0,2,2,2,0,0,2,0,0,0.000000,0.000000,0.000000,0,0.000000,true,0.674584,0.779584,0.648980,0,0.165067
H2,hard_negative,false,frontend-lin,java-backend-payment,0.600000,2,0,2,2,2,0,0,2,0,0,0.000000,0.000000,0.000000,0,0.000000,true,0.674584,0.779584,0.648980,0,0.168267
H2,hard_negative,false,frontend-lin,java-backend-payment,0.650000,2,0,2,1,1,0,0,1,0,1,0.000000,0.000000,0.000000,0,0.000000,true,0.674584,0.779584,0.674584,1,0.166124
H2,hard_negative,false,frontend-lin,java-backend-payment,0.700000,2,0,2,0,0,0,0,0,0,2,0.000000,0.000000,0.000000,0,0.000000,false,0.674584,0.779584,,2,0.167155
H2,hard_negative,false,frontend-lin,java-backend-payment,0.750000,2,0,2,0,0,0,0,0,0,2,0.000000,0.000000,0.000000,0,0.000000,false,0.674584,0.779584,,1,0.165235
H2,hard_negative,false,frontend-lin,java-backend-payment,0.800000,2,0,2,0,0,0,0,0,0,2,0.000000,0.000000,0.000000,0,0.000000,false,0.674584,0.779584,,0,0.165578
H3,hard_negative,false,algorithm-zhou,data-analyst,0.350000,2,0,2,2,2,0,0,2,0,0,0.000000,0.000000,0.000000,0,0.000000,true,0.652813,0.757813,0.629322,0,0.136520
H3,hard_negative,false,algorithm-zhou,data-analyst,0.400000,2,0,2,2,2,0,0,2,0,0,0.000000,0.000000,0.000000,0,0.000000,true,0.652813,0.757813,0.629322,0,0.133537
H3,hard_negative,false,algorithm-zhou,data-analyst,0.450000,2,0,2,2,2,0,0,2,0,0,0.000000,0.000000,0.000000,0,0.000000,true,0.652813,0.757813,0.629322,0,0.134399
H3,hard_negative,false,algorithm-zhou,data-analyst,0.500000,2,0,2,2,2,0,0,2,0,0,0.000000,0.000000,0.000000,0,0.000000,true,0.652813,0.757813,0.629322,0,0.133738
H3,hard_negative,false,algorithm-zhou,data-analyst,0.550000,2,0,2,2,2,0,0,2,0,0,0.000000,0.000000,0.000000,0,0.000000,true,0.652813,0.757813,0.629322,0,0.132164
H3,hard_negative,false,algorithm-zhou,data-analyst,0.600000,2,0,2,2,2,0,0,2,0,0,0.000000,0.000000,0.000000,0,0.000000,true,0.652813,0.757813,0.629322,0,0.132482
